,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
71,rikitea,0.0,PF,2018-11-30 18:27:50,96.0,-23.12,-134.97,78.21,17.65
72,cherskiy,68.0,RU,2018-11-30 18:31:21,72.0,68.75,161.3,-10.84,6.51
73,coquimbo,20.0,CL,2018-11-30 18:00:00,68.0,-29.95,-71.34,64.4,11.41
74,puerto ayora,40.0,EC,2018-11-30 18:00:00,51.0,-0.74,-90.35,82.4,16.11
75,rock sound,48.0,BS,2018-11-30 18:31:23,100.0,24.9,-76.2,76.23,11.39
76,hilo,90.0,US,2018-11-30 18:01:00,87.0,19.71,-155.08,73.04,6.93
77,krasnyy chikoy,0.0,RU,2018-11-30 18:27:34,48.0,50.36,108.75,28.81,7.36
78,sabzevar,8.0,IR,2018-11-30 18:30:08,83.0,36.21,57.68,39.65,4.83
80,hermanus,32.0,ZA,2018-11-30 18:30:09,34.0,-34.42,19.24,73.67,4.34
81,chokurdakh,76.0,RU,2018-11-30 18:30:10,74.0,70.62,147.9,0.59,9.82
82,atuona,32.0,PF,2018-11-30 18:30:10,100.0,-9.8,-139.03,80.73,15.97
84,georgetown,92.0,GY,2018-11-30 18:30:11,69.0,6.8,-58.16,82.85,9.53
85,tikapur,0.0,NP,2018-11-30 18:31:29,87.0,28.53,81.12,52.34,2.89
86,loikaw,0.0,MM,2018-11-30 18:30:13,100.0,19.67,97.21,56.61,2.55
87,argentan,0.0,FR,2018-11-30 18:00:00,87.0,48.74,-0.02,46.4,8.05
88,piacabucu,8.0,BR,2018-11-30 18:30:14,51.0,-10.41,-36.43,88.16,12.44
89,guerrero negro,48.0,MX,2018-11-30 18:30:14,76.0,27.97,-114.04,65.39,11.16
90,buarcos,20.0,PT,2018-11-30 17:00:00,82.0,40.16,-8.88,55.4,3.36
91,buraydah,75.0,SA,2018-11-30 18:00:00,68.0,26.33,43.97,69.8,8.05
92,new norfolk,75.0,AU,2018-11-30 18:00:00,71.0,-42.78,147.06,51.8,5.82
94,severo-kurilsk,64.0,RU,2018-11-30 18:30:17,100.0,50.68,156.12,31.37,22.73
